Names/Year,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
MS Dhoni,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[19, 19]","[895, 914]","[821, 1735]","[1103, 2838]","[1097, 3935]","[1198, 5133]","[600, 5733]","[764, 6497]","[524, 7021]","[753, 7774]","[418, 8192]","[640, 8832]","[278, 9110]","[788, 9898]","[275, 10173]","[327, 10500]"
BC Lara,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[11, 11]","[263, 274]","[794, 1068]","[1349, 2417]","[479, 2896]","[806, 3702]","[692, 4394]","[755, 5149]","[386, 5535]","[631, 6166]","[359, 6525]","[732, 7257]","[292, 7549]","[888, 8437]","[484, 8921]","[438, 9359]","[660, 10019]","[386, 10405]",0,0,0,0,0,0,0,0,0,0,0,0
TM Dilshan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[141, 141]","[86, 227]","[3, 230]","[52, 282]","[111, 393]","[471, 864]","[327, 1191]","[757, 1948]","[632, 2580]","[414, 2994]","[1000, 3994]","[921, 4915]","[820, 5735]","[1119, 6854]","[1160, 8014]","[990, 9004]","[1207, 10211]","[79, 10290]",0,0,0
CH Gayle,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[58, 58]","[273, 331]","[722, 1053]","[1097, 2150]","[981, 3131]","[722, 3853]","[563, 4416]","[1217, 5633]","[611, 6244]","[632, 6876]","[553, 7429]","[456, 7885]","[202, 8087]","[345, 8432]","[311, 8743]","[67, 8810]","[411, 9221]",0,"[199, 9420]","[307, 9727]","[424, 10151]"
Mohammad Yousuf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[479, 479]","[570, 1049]","[1161, 2210]","[588, 2798]","[1362, 4160]","[1168, 5328]","[768, 6096]","[885, 6981]","[627, 7608]","[1042, 8650]","[592, 9242]","[301, 9543]","[177, 9720]",0,0,0,0,0,0,0,0,0
AC Gilchrist,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[18, 18]","[286, 304]","[831, 1135]","[1241, 2376]","[726, 3102]","[746, 3848]","[836, 4684]","[1098, 5782]","[879, 6661]","[892, 7553]","[810, 8363]","[934, 9297]","[322, 9619]",0,0,0,0,0,0,0,0,0,0,0
AB de Villiers,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[221, 221]","[466, 687]","[1209, 1896]","[434, 2330]","[762, 3092]","[964, 4056]","[467, 4523]","[645, 5168]","[1163, 6331]","[879, 7210]","[1193, 8403]","[339, 8742]","[773, 9515]","[62, 9577]",0
M Azharuddin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[444, 444]","[528, 972]","[517, 1489]","[481, 1970]","[282, 2252]","[522, 2774]","[229, 3003]","[652, 3655]","[769, 4424]","[689, 5113]","[286, 5399]","[931, 6330]","[1104, 7434]","[1268, 8702]","[408, 9110]","[268, 9378]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PA de Silva,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[105, 105]","[384, 489]","[147, 636]","[155, 791]","[520, 1311]","[441, 1752]","[470, 2222]","[53, 2275]","[538, 2813]","[699, 3512]","[712, 4224]","[481, 4705]","[1188, 5893]","[1212, 7105]","[694, 7799]","[394, 8193]","[141, 8334]","[96, 8430]","[464, 8894]","[390, 9284]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Saeed Anwar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[100, 100]","[673, 773]","[1, 774]","[6, 780]","[724, 1504]","[846, 2350]","[190, 2540]","[1595, 4135]","[886, 5021]","[831, 5852]","[912, 6764]","[874, 7638]","[711, 8349]","[257, 8606]","[218, 8824]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
